target_file,vuln_file,patch_file,datail,predict
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/inferBinaryBitwise@@@lib@#@Optimizer@#@Scalar@#@TypeInference.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-28081_CWE-XXXX-XXXX_e6ed9c1a4b02dc219de1648f44cd808a56171b81_CVE-2023-28081_e6ed9c1a4b02dc219de1648f44cd808a56171b81_TypeInference.cpp_1.1_inferBinaryBitwise_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-28081_CWE-XXXX-XXXX_e6ed9c1a4b02dc219de1648f44cd808a56171b81_CVE-2023-28081_e6ed9c1a4b02dc219de1648f44cd808a56171b81_TypeInference.cpp_1.1_inferBinaryBitwise_NEW.vul,"[True, True, True, 0.9562043795620438, 0.7682119205298014]",True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/generate@@@lib@#@BCGen@#@HBC@#@BytecodeGenerator.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_NEW.vul,"[True, 'no del line', True, True, 0.8080438756855576, 0.8039747064137308]",True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/generate@@@lib@#@BCGen@#@HBC@#@BytecodeGenerator.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1912_CWE-XXXX-XXXX_091835377369c8fd5917d9b87acffa721ad2a168_CVE-2020-1912_091835377369c8fd5917d9b87acffa721ad2a168_BytecodeGenerator.cpp_1.1_BytecodeModuleGenerator :: generate_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/getArchTypeName@@@external@#@llvh@#@lib@#@Support@#@Triple.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-27103_CWE-XXXX-XXXX_d6bf73e765b7a23627bfd7a8645c143fd9097995_CVE-2023-27103_d6bf73e765b7a23627bfd7a8645c143fd9097995_de265.cc_1.1_de265_get_error_text_NEW.vul,"[True, 'no del line', True, False, 0.36259977194982895, 0.3581081081081081]",False
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/toDouble@@@lib@#@Support@#@BigIntSupport.cpp,./cache/old_new_funcs/vul/sample/CVE-2023-24833_CWE-XXXX-XXXX_a6dcafe6ded8e61658b40f5699878cd19a481f80_CVE-2023-24833_a6dcafe6ded8e61658b40f5699878cd19a481f80_BigIntSupport.cpp_1.1_toDouble_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2023-24833_CWE-XXXX-XXXX_a6dcafe6ded8e61658b40f5699878cd19a481f80_CVE-2023-24833_a6dcafe6ded8e61658b40f5699878cd19a481f80_BigIntSupport.cpp_1.1_toDouble_NEW.vul,"[True, True, True, 1.0, 0.6834532374100719]",True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/interpretFunctionImpl@@@lib@#@VM@#@Interpreter.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Interpreter.cpp_1.1_Runtime :: interpretFunctionImpl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Interpreter.cpp_1.1_Runtime :: interpretFunctionImpl_NEW.vul,"[True, True, True, 0.967032967032967, 0.8762541806020067]",True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/interpretFunctionImpl@@@lib@#@VM@#@Interpreter.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Interpreter.cpp_1.1_Runtime :: interpretFunctionImpl_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Interpreter.cpp_1.1_Runtime :: interpretFunctionImpl_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/resolveBreakpointLocation@@@lib@#@VM@#@Debugger@#@Debugger.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_NEW.vul,"[True, True, True, 0.9925864909390445, 0.9583666933546837]",True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/resolveBreakpointLocation@@@lib@#@VM@#@Debugger@#@Debugger.cpp,./cache/old_new_funcs/vul/sample/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2022-40138_CWE-XXXX-XXXX_6aa825e480d48127b480b08d13adf70033237097_CVE-2022-40138_6aa825e480d48127b480b08d13adf70033237097_Debugger.cpp_1.1_Debugger :: resolveBreakpointLocation_NEW.vul,['no vuln_file emb'],True
./processed/facebook@@hermes-hermes-2022-08-16-RNv0.70.0-716d48baf36b0b326ab82f53207b8682c87fc017/interpretFunction@@@lib@#@VM@#@Interpreter.cpp,./cache/old_new_funcs/vul/sample/CVE-2020-1913_CWE-XXXX-XXXX_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_CVE-2020-1913_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_Interpreter.cpp_1.1_Interpreter :: interpretFunction_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2020-1913_CWE-XXXX-XXXX_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_CVE-2020-1913_2c7af7ec481ceffd0d14ce2d7c045e475fd71dc6_Interpreter.cpp_1.1_Interpreter :: interpretFunction_NEW.vul,[False],False
